food_id,food_name,category,ingredients,contains_allergens,allergen_score,calories,protein_g,fat_g,carbs_g,sodium_mg,sugar_g,fiber_g,serving_size_g,is_vegan,is_gluten_free,is_dairy_free,price_usd,brand,country,spice_level,shelf_life_days,image_url,packaging_type,rating
1,Biryani,Indian,"chicken, onion, yogurt, spices, rice",,0.34428068311212834,782,32.081340519158246,44.796598020179005,80.63310299010973,74,1.9652050089096051,7.558072766307955,248,0,0,0,5.33,BrandE,UK,5,162,https://source.unsplash.com/featured/?biryani&sig=1,Bottle,1.38
2,Curry,Indian,"tomato, oil, spices",,0.07750508080721397,58,13.812488269014208,10.323184197934712,40.38959579924665,270,41.86103772441633,1.709160570140238,58,0,1,1,3.46,BrandD,Australia,5,234,https://source.unsplash.com/featured/?curry&sig=2,Bottle,4.2
3,Chocolate,Dessert,"butter, cocoa, milk",dairy,0.1719959146388752,392,13.261894329667665,42.497177218907666,61.904782660592154,510,26.684534376879007,7.834674068541229,341,0,1,1,3.6,BrandE,UK,3,192,https://source.unsplash.com/featured/?chocolate&sig=3,Wrapper,4.74
4,Ice Cream,Dessert,"cream, vanilla, sugar",,0.5141861734993813,484,29.28048219095179,40.120377599376184,33.3752145492951,144,29.249401833261235,6.365557208369634,104,1,0,0,3.92,BrandE,USA,0,118,https://source.unsplash.com/featured/?ice-cream&sig=4,Wrapper,3.13
5,Curry,Indian,"oil, spices, onion, tomato",,0.32935765020007424,243,31.635049133971403,24.482639102319617,90.89801356358396,484,57.75605063370152,2.2785526565887726,112,0,1,0,14.91,BrandC,USA,1,106,https://source.unsplash.com/featured/?curry&sig=5,Box,2.25
6,Dosa,Indian,"lentils, rice, oil",,0.5672380035579945,496,19.879505654235114,25.966157132133347,95.90665927998921,344,7.978416478076746,12.591601466289873,198,0,1,1,2.19,BrandE,Australia,2,190,https://source.unsplash.com/featured/?dosa&sig=6,Bottle,2.07
7,Idli,Indian,"rice, lentils, salt",,0.5919393598804709,753,24.166659566882075,38.84899482355523,80.59925772526366,471,51.51113999845979,18.187922432617604,260,0,1,1,14.78,BrandB,UK,3,293,https://source.unsplash.com/featured/?idli&sig=7,Pouch,2.81
8,Dosa,Indian,"lentils, oil, rice",,0.15744166728795428,122,1.7891882030362587,45.29736688684596,83.03063272904922,279,39.2698118691379,9.414115975318998,243,1,1,1,6.58,BrandA,USA,3,232,https://source.unsplash.com/featured/?dosa&sig=8,Box,3.13
9,Samosa,Indian,"wheat flour, potato, peas, spices, oil",gluten,0.43002596408774896,692,22.64982095089947,40.37399156632891,37.05766591158672,106,6.0275284880863955,17.48719088440318,95,1,1,1,8.22,BrandE,UK,1,86,https://source.unsplash.com/featured/?samosa&sig=9,Wrapper,2.66
10,Pasta,Italian,"olive oil, garlic, pasta, cheese",dairy,0.010308990255886274,231,1.5903798259458197,31.923238058102957,90.4403581663773,179,25.98121408207841,12.29357416206229,430,1,1,1,18.92,BrandD,Australia,5,124,https://source.unsplash.com/featured/?pasta&sig=10,Box,3.15
